name,population,timezone,federal_subject,federal_district
Ust’-Ilimsk,100271,Asia/Irkutsk,,
Tekstil’shchiki,100000,Europe/Moscow,,
Zelenodolsk,99600,Europe/Moscow,Republic of Tatarstan,Volga
Novoshakhtinsk,99478,Europe/Moscow,Rostov Oblast,South
Sarapul,98830,Europe/Samara,Udmurt Republic,Volga
Votkinsk,98633,Europe/Samara,Udmurt Republic,Volga
Serov,98438,Asia/Yekaterinburg,Sverdlovsk Oblast,Ural
Balashov,98107,Europe/Saratov,Saratov Oblast,Volga
Zheleznogorsk,97900,Europe/Moscow,Kursk Oblast,Central
Zhukovskiy,97200,Europe/Moscow,,
Ramenskoye,96000,Europe/Moscow,Moscow Oblast,Central
Vostochnoe Degunino,95000,Europe/Moscow,,
Novogireyevo,95000,Europe/Moscow,,
Ozerki,95000,Europe/Moscow,,
Novyy Urengoy,94212,Asia/Yekaterinburg,,
Novoural’sk,93849,Asia/Yekaterinburg,,
Michurinsk,93499,Europe/Moscow,Tambov Oblast,Central
Kineshma,92983,Europe/Moscow,Ivanovo Oblast,Central
Krasnogorsk,92932,Europe/Moscow,Moscow Oblast,Central
Pushkin,92889,Europe/Moscow,,
Magadan,92782,Asia/Magadan,Magadan Oblast,Far East
Bugulma,91900,Europe/Moscow,Republic of Tatarstan,Volga
Yaroslavskiy,91000,Europe/Moscow,,
Lefortovo,91000,Europe/Moscow,,
Kuznetsk,90480,Europe/Moscow,Penza Oblast,Volga
Kirovo-Chepetsk,90252,Europe/Kirov,Kirov Oblast,Volga
Berdsk,90250,Asia/Novosibirsk,Novosibirsk Oblast,Siberia
Gatchina,89761,Europe/Moscow,Leningrad Oblast,Northwest
Biryulëvo Zapadnoye,89000,Europe/Moscow,,
Sarov,88000,Europe/Moscow,Nizhny Novgorod Oblast,Volga
Yeysk,87814,Europe/Moscow,Krasnodar Krai,South
Buzuluk,87714,Asia/Yekaterinburg,Orenburg Oblast,Volga
Gubkin,87000,Europe/Moscow,Belgorod Oblast,Central
Chaykovskiy,86712,Asia/Yekaterinburg,,
Lianozovo,86000,Europe/Moscow,,
Babushkin,86000,Europe/Moscow,,
Usol’ye-Sibirskoye,85900,Asia/Irkutsk,,
Obruchevo,85616,Europe/Moscow,,
Svetlanovskiy,85508,Europe/Moscow,,
Yegor’yevsk,85200,Europe/Moscow,,
Yurga,84220,Asia/Novokuznetsk,Kemerovo Oblast,Siberia
Komendantsky aerodrom,84052,Europe/Moscow,,
Anzhero-Sudzhensk,82526,Asia/Novokuznetsk,Kemerovo Oblast,Siberia
Troitsk,82338,Asia/Yekaterinburg,Chelyabinsk Oblast,Ural
Azov,82133,Europe/Moscow,Rostov Oblast,South
Kaspiysk,81752,Europe/Moscow,Republic of Dagestan,North Caucasus
Ozersk,81023,Asia/Yekaterinburg,,
Yessentuki,81015,Europe/Moscow,Stavropol Krai,North Caucasus
Klin,80778,Europe/Moscow,Moscow Oblast,Central
Vorkuta,80039,Europe/Moscow,Komi Republic,Northwest
Fili,80000,Europe/Moscow,,
Kropotkin,79599,Europe/Moscow,Krasnodar Krai,South
Shadrinsk,79479,Asia/Yekaterinburg,Kurgan Oblast,Ural
Vyborg,78633,Europe/Moscow,Leningrad Oblast,Northwest
Reutov,78370,Europe/Moscow,Moscow Oblast,Central
Alekseyevka,78000,Europe/Moscow,,
Voskresensk,77086,Europe/Moscow,Moscow Oblast,Central
Mineralnye Vody,76280,Europe/Moscow,Stavropol Krai,North Caucasus
Nagornyy,76000,Europe/Moscow,,
Kamensk-Shakhtinskiy,75814,Europe/Moscow,,
Belovo,75764,Asia/Novokuznetsk,Kemerovo Oblast,Siberia
Chekhov,75643,Europe/Moscow,Moscow Oblast,Central
Asbest,74583,Asia/Yekaterinburg,Sverdlovsk Oblast,Ural
Birobidzhan,73623,Asia/Vladivostok,Jewish Autonomous Oblast,Far East
Peterhof,73199,Europe/Moscow,,
Dachnoye,72822,Europe/Moscow,,
Minusinsk,72781,Asia/Krasnoyarsk,Krasnoyarsk Krai,Siberia
Georgiyevsk,72649,Europe/Moscow,Stavropol Krai,North Caucasus
Yelabuga,72643,Europe/Moscow,Republic of Tatarstan,Volga
Naro-Fominsk,72632,Europe/Moscow,Moscow Oblast,Central
Finlyandskiy,72292,Europe/Moscow,,
Sunzha,71841,Europe/Moscow,Republic of Ingushetia,North Caucasus
Chernogorsk,71582,Asia/Krasnoyarsk,Republic of Khakassia,Siberia
Zelenogorsk,71354,Asia/Krasnoyarsk,Krasnoyarsk Krai,Siberia
Grazhdanka,71128,Europe/Moscow,,
Kopeysk,70780,Asia/Yekaterinburg,Chelyabinsk Oblast,Ural
Kurortnyy,70589,Europe/Moscow,,
Vol’sk,70500,Europe/Saratov,,
Beloretsk,70468,Asia/Yekaterinburg,Republic of Bashkortostan,Volga
Ishimbay,70421,Asia/Yekaterinburg,Republic of Bashkortostan,Volga
Adler,70200,Europe/Moscow,,
Chapayevsk,70147,Europe/Samara,Samara Oblast,Volga
Tuymazy,68829,Asia/Yekaterinburg,Republic of Bashkortostan,Volga
Lys’va,68660,Asia/Yekaterinburg,,
Borisoglebsk,68597,Europe/Moscow,Voronezh Oblast,Central
Sosnovyy Bor,68563,Europe/Moscow,,
Dolgoprudnyy,68259,Europe/Moscow,,
Dorogomilovo,68000,Europe/Moscow,,
Budyonnovsk,67962,Europe/Moscow,Stavropol Krai,North Caucasus
Belogorsk,67911,Asia/Yakutsk,Amur Oblast,Far East
Ishim,67762,Asia/Yekaterinburg,Tyumen Oblast,Ural
Kstovo,67242,Europe/Moscow,Nizhny Novgorod Oblast,Volga
Aleksin,66885,Europe/Moscow,Tula Oblast,Central
Parnas,66693,Europe/Moscow,,
Kungur,66389,Asia/Yekaterinburg,Perm Krai,Volga
Klintsy,66336,Europe/Moscow,Bryansk Oblast,Central
Neryungri,66320,Asia/Yakutsk,Sakha (Yakutia) Republic,Far East
Leninogorsk,66263,Europe/Moscow,Republic of Tatarstan,Volga
Sosnovka,66227,Europe/Moscow,,
Gukovo,66079,Europe/Moscow,Rostov Oblast,South
Lesosibirsk,65945,Asia/Krasnoyarsk,Krasnoyarsk Krai,Siberia
Polevskoy,65770,Asia/Yekaterinburg,Sverdlovsk Oblast,Ural
Meleuz,65362,Asia/Yekaterinburg,Republic of Bashkortostan,Volga
Kumertau,65321,Asia/Yekaterinburg,Republic of Bashkortostan,Volga
Slavyansk-na-Kubani,65196,Europe/Moscow,Krasnodar Krai,South
Tikhoretsk,64387,Europe/Moscow,Krasnodar Krai,South
Rossosh’,64323,Europe/Moscow,,
Tuapse,64234,Europe/Moscow,Krasnodar Krai,South
Aleksandrov,64088,Europe/Moscow,,
Kotlovka,64000,Europe/Moscow,,
Zarechnyy,63579,Europe/Moscow,,
Pavlovo,63338,Europe/Moscow,Nizhny Novgorod Oblast,Volga
Gorno-Altaysk,63214,Asia/Barnaul,Altai Republic,Siberia
Novaya Balakhna,63083,Europe/Moscow,,
Gus’-Khrustal’nyy,62746,Europe/Moscow,,
Buynaksk,62689,Europe/Moscow,Republic of Dagestan,North Caucasus
Krasnoturinsk,62600,Asia/Yekaterinburg,,
Belebey,62582,Asia/Yekaterinburg,Republic of Bashkortostan,Volga
Rzhev,62246,Europe/Moscow,Tver Oblast,Central
Chistopol’,62200,Europe/Moscow,,
Tikhvin,62075,Europe/Moscow,Leningrad Oblast,Northwest
Petrodvorets,61973,Europe/Moscow,,
Labinsk,61945,Europe/Moscow,Krasnodar Krai,South
Iskitim,61827,Asia/Novosibirsk,Novosibirsk Oblast,Siberia
Revda,61785,Asia/Yekaterinburg,Sverdlovsk Oblast,Ural
Lobnya,61772,Europe/Moscow,Moscow Oblast,Central
Vyksa,61664,Europe/Moscow,,
Dmitrov,61607,Europe/Moscow,Moscow Oblast,Central
Sibay,61590,Asia/Yekaterinburg,Republic of Bashkortostan,Volga
Apatity,61186,Europe/Moscow,,
Novoaltaysk,61050,Asia/Barnaul,Altai Krai,Siberia
Svobodnyy,61017,Asia/Yakutsk,,
Sal’sk,61000,Europe/Moscow,,
Stupino,60999,Europe/Moscow,Moscow Oblast,Central
Prokhladnyy,60800,Europe/Moscow,,
Shuya,60705,Europe/Moscow,Ivanovo Oblast,Central
Shchëkino,60700,Europe/Moscow,,
Bor,60647,Europe/Moscow,Nizhny Novgorod Oblast,Volga
Dubna,60604,Europe/Moscow,Moscow Oblast,Central
Pavlovskiy Posad,60051,Europe/Moscow,,
Sviblovo,60000,Europe/Moscow,,
Ostankinskiy,60000,Europe/Moscow,,
Mikhaylovsk,59198,Europe/Moscow,Stavropol Krai,North Caucasus
Kotlas,59180,Europe/Moscow,Arkhangelsk Oblast,Northwest
Verkhnyaya Pyshma,59061,Asia/Yekaterinburg,Sverdlovsk Oblast,Ural
Talnakh,59051,Asia/Krasnoyarsk,,
Mikhaylovka,58898,Europe/Volgograd,Volgograd Oblast,South
Solnechnogorsk,58891,Europe/Moscow,,
Arsen’yev,58700,Asia/Vladivostok,,
Uzlovaya,58458,Europe/Moscow,,
Volzhsk,58000,Europe/Moscow,Mari El Republic,Volga
Kogalym,57800,Asia/Yekaterinburg,Khanty-Mansi Autonomous Okrug-Yugra,Ural
Krymsk,57555,Europe/Moscow,Krasnodar Krai,South
Cheremkhovo,57395,Asia/Irkutsk,,
Zhigulevsk,57094,Europe/Samara,,
Sokol’niki,57000,Europe/Moscow,,
Sokol,57000,Europe/Moscow,,
Roslavl’,56971,Europe/Moscow,,
Borovichi,56571,Europe/Moscow,,
Chernaya Rechka,56429,Europe/Moscow,,
Kirishi,56190,Europe/Moscow,Leningrad Oblast,Northwest
Ezhva,56000,Europe/Moscow,,
Liski,55939,Europe/Moscow,Voronezh Oblast,Central
Vyaz’ma,55500,Europe/Moscow,,
Nazarovo,55252,Asia/Krasnoyarsk,,
Klimovsk,55206,Europe/Moscow,,
Lesnoy,55100,Asia/Yekaterinburg,,
Rybatskoye,55076,Europe/Moscow,,
Uritsk,55037,Europe/Moscow,,
Pokrovskoye-Streshnëvo,55000,Europe/Moscow,,
